1,2,3,4,5,6,7,8,9,10
7954.9,1927.2,38685.7,58168.8,12072.6,8957,51729.4,10942.4,14704.5,57423.3
11082,2951.1,3328.4,11719.3,20170.9,3211,8429.3,4617,9852.5,42828.5
1148.2,13028.9,11670.7,3253,9328.2,40817.5,25817.2,17786.4,14142.2,3924.6
8532.6,8027.1,6694.1,6917.3,36597.9,4552.5,12917.1,3963.1,13264.9,29101.4
1565.4,19092.8,6942,10857.9,21026.8,14752.2,2475.8,13016,13104.4,22949.8
28136.5,14455.5,1916,7897.8,2561.2,31630.9,5650.8,12939.1,17235.3,9913.1
693.5,7798.5,10180.9,16312.6,20474.1,7262.5,21903,47693.8,9170.7,4450.3
8232.7,4236.6,24125.6,8208,11825.2,20993.9,4548.6,11442.7,12049,27852.2
5895.3,8293.4,9010.6,2056.9,17917,30046.3,9983.1,11903.9,7292.5,5155.5
2785.5,5357.4,4873.4,3951.8,3467.3,18840,7625.8,33910.4,11104.8,12157
27521.2,40421.9,13829.2,2719.4,10992.8,17359,8831.1,12862.2,3997.3,18818.1
23781.4,29839.2,20235.6,7067.8,10673,28246.7,14907,19484.8,13016,9423.7
7994.2,11994.1,1479.9,17565.4,21936.8,14093.7,3527.2,7249.7,2800.6,10509.2
2269,31905.7,19367.5,40894.5,25510.2,1871,24268.5,17165.2,15158.5,24136.6
864.5,16147.8,33004.5,15458.1,8181.4,28883.8,9993.9,1766.3,42474.9,9654.4
3189.5,10829.3,16976.6,14848.3,3189.5,6792.4,14907,3740.8,17707.7,22070.7
14005,6993.3,2172.3,4954.6,10117.5,27224.5,12543.5,16191.8,603.5,29147.5
7115.1,1813.3,6095.8,15037.9,7697.3,8202.8,3967.4,21543.1,13038,4249.4
10115.5,17169.8,9480.7,16301.6,18551.2,21323.5,6305.2,39145.6,5830.8,5574.4
6170,2535.6,9541.9,15007.6,64948.8,10356.7,12038.9,5022,1877.9,11053.5
3104.2,15972,9260.7,3916.1,17191.7,6455.7,1736.4,15660.6,16521.4,15099.8
1291.9,17345.6,32510,14817,11892.6,30037.6,7978.5,9508.1,22631.2,5382.5
4181.1,4441.8,7449.8,10060,2642.5,6771.1,15686.7,8134.4,12797.3,8408
4181.1,1116.7,5810.1,20884,17257.7,10275.7,5104.2,23432.7,21543.1,32619.9
3496.1,15048.9,6268.9,30257.4,3961.3,6343.7,22486.3,326,14502.1,12949.9
14423.4,2481.6,15460.3,2522.8,8563.3,4104.1,22712.7,28850.8,12207.6,19349.8
3303.3,4557.2,8181,15075.7,17114.8,2698,14496.2,28993.6,4313.6,2958.7
16169.8,18653.2,14807.2,22301.5,14400.6,5531.6,3847.7,7663.5,7168.5,5910.7
4510.7,18345.6,8608.3,6895.3,3659.6,20664.2,8920.8,14323.7,22444.4,8822
11662.3,1398.7,3609.6,11049.1,8334.8,17081.8,14918.3,2003.7,4121.2,6044.5
2180.9,3377.6,18312.6,4598.6,29067.8,10292.8,11125.9,13613.6,1356,44092.4
26971.7,3403.9,14873.1,21340.6,2839.1,5222.8,13147.9,1095.3,18830.8,21796
8433.7,12916.2,6587.3,5390.6,8810.8,4202.4,17494,5537.7,19945.9,43059.2
17246.7,18562.5,13301.7,17179.1,19862,3848.2,5105.9,32004.6,13051.1,22545
4587.1,7620.5,7025.8,22125.8,6403.5,30488.1,17752.2,39757.8,23680.1,12488.6
13334.7,5005.3,4446,12400.6,27136.5,43246,9180.9,26455.2,29883.7,22466.3
10160.5,8653.3,3121.1,43839.4,1086.7,27378.3,18562.5,10620.5,7895.1,5668.4
5138.4,4651.2,2839.1,14220.9,31004.6,17026.9,7411.5,4269,20070.8,8727.8
2061.2,9890.6,16653.3,12741.3,10807.3,9356.7,6647.1,11818.2,10183,16005
32400.2,12349.8,4125.5,13235.8,10959.1,19598.3,16516.8,16917,18960.9,18719.2
1984.3,8147.2,27642,17004.9,1882.3,20092.8,14535.8,3470.9,33048.5,32510
5617.3,20744.5,1073.9,9510.6,8627.2,4976,2456.5,3463,6581.5,8724.2
9361.9,150.8,19664.2,11972.1,6190.1,3722.5,26180.5,1689.4,6377.9,16664.3
2881.8,10025.5,1890.2,6195.8,8660.1,8334.8,9711.5,19719.1,4150.1,24355
10532.6,8356.7,2621.1,15257.7,484.1,7963.5,12378.7,10158.9,4644.7,20834.5
2608.3,6268.8,4634.1,1001.3,8268.9,9879.3,10884.2,13973.5,4762.3,4933.3
34268.2,35850.6,22719.1,5027.3,9415.3,9980.5,12540.8,10632.9,2916,4381.9
736.3,9148,23543.2,25938.8,10730.4,7275.4,52729.3,2710.8,8433.6,19698.5
1911.5,20081.8,3434.4,20422.4,3797.9,24501.2,7371.1,1484.2,6360.8,24800.3
19653.5,21069.4,2146.7,17653.3,11435.9,4941.8,21411.4,2894.6,11982.6,11318.6
20081.8,18763.1,7796.4,11285.3,20422.4,7967.7,1962.9,35586.9,7271.1,15376.5
14906.1,12484,1232.1,20752.1,17413.9,5253.8,23241.5,2108.2,9989.3,21110
16895,1915.9,8394.6,11870.1,8190,18160.1,16906,9918.4,11633.9,10857.9
29663.9,6185.5,26570.8,8268.9,12871.2,2702.3,32641.9,4228.1,10207.3,13951
5290.9,7835.3,8031.9,15147.8,5324,1601.1,25576.1,4732.4,14580,11851.2
5695.2,17917,2716.4,4919.1,12286.3,10250.5,5134.1,12972.4,30271.3,28048.6
18015.9,11912.6,7719.8,16380.4,17960.9,24839.9,1821.9,2061.2,14592.1,8476.3
3322,8829.3,6538.8,21538.9,12994.9,12342.5,10081.8,6523.2,17823.4,19091.1
19895,5256.8,16235.7,34543,2052.7,43740.5,2839.1,14244.6,20574.7,12117.7
8325.4,12410,25191.5,6312.9,6963.4,1890.2,35074,6860.8,9685.9,13681
1265.9,14301.7,15290.7,5105.9,12792.5,5775.2,7470.2,13334.7,17213.7,23642.1
22268.5,7652.3,22433.4,18697.2,8774.4,10936.6,14246.8,15532.4,6673.7,15807.2
9596.1,6082.1,10016.1,34663.8,21318.1,26158.6,15469.4,13070.9,11895.2,5548.7
32346.1,4586,43443.8,4210.5,3830.6,2266.3,10959.1,8754.6,17943.9,11045
19323.6,1437.2,10756.6,7697.3,2698,12257.8,33353.1,13951,6783.9,21385.6
17884,14027,1881.7,14367.6,12936.7,3805,5108.5,5941.9,10647.5,14840.1
22008.4,3176.7,5647,2659.5,14209.7,23455.3,6561.6,5711.1,29151.7,16976.6
8501.5,18433.5,3950.3,14521.5,21404.7,7369.6,8840.3,7923,7852.3,8352.4
8928.2,9665.6,1844.4,8049.1,7269,10052.5,24774,10959.1,30345.3,26378.3
18653.2,12275.1,8224.9,3839.1,13092.9,10404.7,7895.3,11195.3,13276.1,9331.5
10345.7,3996.8,6741.1,4134,1458.6,3010,6818.1,5608.9,8065.5,22510.3
12268.8,19554.3,6874.9,29565.1,7562.3,10598.5,8627.2,2471.5,19068.6,14814.6
17840.1,714.9,22147.7,1172.2,8282.2,3151,23037.7,10183,6634.3,24554.2
492.7,7587.6,6202.6,5467.5,12939.1,11544.9,30971.6,11487.7,21093.2,13231.1
16257.7,3563.2,27279.4,12814.9,1565.4,9676.9,19037.8,12087.8,31620,60619.2
18796.1,1407.3,12191.9,9917.2,48988.8,12651.6,5692.8,7621.1,7946.4,23389.4
13312.7,8258.3,4488.8,20741.1,4792.2,15750.6,7944.7,23609.2,22894.9,11125.7
17015.9,12123.4,13264.9,7427.3,14126.5,22499.1,3211,36772.4,7433.5,30576
6271,7922.2,13191.8,3497.2,1347.5,14598.4,12240.8,28004.7,16627.9,25457.3
7310.9,19378.5,8613.1,16444.5,3540,2839.1,4309.3,17840.1,14950,27389.3
8561.8,15983,37582.2,15609.4,18721.8,2202.2,2223.6,8345.8,39575.8,45971.3
4753.7,13782.2,19466.4,23015.8,4510.2,14180.8,5228.2,6816.2,21444.4,3172.4
4854.3,13298.6,9554.6,10968,14488.5,17346.8,9305.5,4215.3,13112.8,22667.9
4175.2,11071.6,7989.7,5839.3,36043.6,2916,20752.1,11094.1,8672.9,19233.2
3766.5,12556.3,17971.9,8270.9,7895.3,1796.2,18378.5,9653.5,25198.6,31620
8642.5,7574.5,43608.7,4446,3236.5,16860.5,10019,5518.8,6164.2,14848.3
14070.9,14521.5,4796.4,10655.4,8426,7420.7,4091.3,6736.9,15818.1,6377.9
10609.5,1333,16180.8,18906,4172.5,19698.5,42246.1,7296.7,22719.1,12458.8
14001.5,12158.9,4503,27617.4,5296.6,1150.9,10035.8,15224.8,14697.3,9177.3
496.9,18405,9422.7,14323.7,9147,27999.2,11870.1,32554,10181.6,13682.9
12510.5,14884.1,8917.2,11127.8,13783.5,3069.8,7467.7,12250.2,14974.5,6103.6
10917.2,646.5,11905.4,5650.8,14344.6,8642.5,14301.7,11127.8,8006.8,11075.4
7038.1,6053,2274.9,5080.7,8531.9,8115,7621.6,868.8,19006.9,9826.2
9834.3,15390.7,5863.9,9620.5,7245.5,9675.4,13268.8,21925.5,7878,23587.2
16532.4,17367.6,6971.9,6447.3,9173,11818.2,10149.3,4753.8,21147.7,22802.8
12882.4,5847.9,7814,17730.2,14772,12719.3,16365.8,8929.1,6014.6,17213.7
43082.3,13543.5,4323.9,5317.9,11480.9,12934,6536,26235.5,4646.9,24372.8
1172.2,13785.2,9191.9,9054.8,22840,12345.7,15761.8,8777.1,4193.9,3172.4
6178.9,1176.5,10565.5,15016,3916.1,19293.6,6531.7,16961,3860.5,17741.2
17268.7,7503.7,5873.5,12792.5,2108.2,10538.8,22004.8,27422.3,29629.6,23769.1
4784.1,20137.1,6480.4,25795.9,17269,16987.8,24719,10493.6,16987.8,3881.9
19180.7,7369.4,7805.6,5189.7,7512.1,3726.9,13565.5,24872.9,7612.7,4877.7
15895.1,12587.5,15469.4,15763.2,2176.6,3659.6,18741.1,5698.3,15466.5,15773.1
1836,9071.1,14345.7,16762.9,5659.8,6741.1,16917,17156.5,8338.4,32037.5
9829.3,1565.4,3903.3,14488.5,4471.7,3390.4,18502.9,8169.7,14535.8,13825.4
34736.6,9180.9,2873.4,3907.5,8831.1,6446.2,9466.6,8203.4,18596,9570.5
3038.2,22083,24543.2,7578.8,17565.4,5591.5,22555.4,9574.6,8360.9,27389.3
4313.6,16169.8,7262.5,10304.1,4091.4,5121.6,3576.7,5514.5,17708.2,41090.8
1685.1,4215.3,28147.5,28927.7,11466.6,14918.3,16829.1,5608.9,9126,26653
1744.9,12851.2,17960.9,14569.6,3864.8,12235.8,17620.3,27346.9,12995.4,18213.7
4708.5,10741.3,2014.2,25730,18545.7,11296.5,197.8,21664.2,5697.5,11536.5
293.3,20575.8,39323.1,7235.9,11093,14387.2,26191.5,8720.8,30037.6,10027.8
18158.7,20796,6258.2,10610.4,6523.2,1740.7,10815.5,15670,12376.3,10203.5
22070.7,958.5,6988.7,23675.1,5313.6,2121,19763.1,27411.3,4732.4,22389.4
5631.6,14224.8,11785.3,13231.1,2676.6,4267.4,4010.1,16425.4,10216.7,19811
7053.1,15950,20916.9,17422.5,5467.5,8023.6,14653.3,12083.9,7138.6,8929.4
3044.2,2142.4,5523.1,8327.1,30224.4,14915.4,9367.8,13314,3834.9,15939
1903.1,11851.2,9609.5,2779.2,5027.2,1095.3,11574.9,19993.9,5692.8,7719.4
11631.4,11686.4,6355.1,35531.9,5357.4,12400.1,1099.6,7724.1,43082.3,12185.1
4660.4,13892.5,33128.2,4311.7,9690.1,10086.1,9664.4,15116.6,17026.9,16481.7
7285.8,29378.3,8034.7,1992.8,11240.3,2056.9,20722,10939.1,24828.9,27949.7
13719.3,11622.7,17982.9,22158.6,3852,3809.2,29191.5,6172.7,11167.6,7302.5
1499.8,8903.9,821.8,12207.6,2420.2,22235.6,8765.8,13279.7,11229,15356.6
4829.2,11045,31543,8367.8,6246.9,1296.2,15906.1,23004.8,24934.5,5441.9
4804,14114.9,21268.6,7758.3,18499.4,21598.2,2151,15169.8,16549.2,22785
4846,17011.4,14983,24287.5,15011.2,7939.2,17943.9,10697.4,10566.3,3732.3
4352,8987.7,17221,17325.2,16425.4,13051.1,5702.6,28389.3,5950.5,2304.8
8686.4,5144.1,9818.3,13321.1,12290.8,21092.9,11566.5,21938.9,24850.9,3121.1
7607.3,2552.7,5352.1,28499.2,18807.1,5181.3,9213.9,18213.7,26998.2,22436
5689.8,4223.8,12140.1,8245.5,21858,10730.4,13354.8,13995.9,5732.5,16481.7
23883.9,5560.2,4188,17125.8,15677.9,736.3,9561.9,1685.1,5967.6,8455
10994.1,44589.5,26389.3,28444.2,34400.1,11961.1,11830,30282.5,16774.1,39393.1
8631.5,3706.7,16110.5,3941.7,9591.4,9485.7,5706.8,2569.8,20028.7,18671.5
45586.6,18301.6,4672.6,5684.4,22850.9,8833.3,9834.6,19895,7461.8,50971.1
2736.5,14764.5,13620.4,26312.4,8005.1,27213.5,22105.5,25499.2,13851.2,7419.9
13973.5,8962.6,28004.7,15708.3,9339.7,4407.6,9587.5,23499.3,39158.2,31378.2
17572.7,13587.4,15070.9,4275.8,15581.9,13976.3,4360.6,4480.5,2804.9,8835.3
13397.8,3185.9,21829,22598.2,4510.2,10382.5,6655.7,10983.1,16279.2,7138.6
,14147.9,8851.3,25180.6,12291.1,16697.2,5138.4,11301.8,49943.3,1014.1
,7185.6,10947.8,4961.3,6151.3,9235.9,6532.7,13894.7,7083,3681
,14158.8,23631.1,4267.4,19990.9,6241.1,19576.3,4582.8,591,25279.5
,16231.7,1800.5,1659.5,8769.8,17271.3,11409,13280.5,8403.7,85003.3
,20455.4,1629.5,10169.9,5424.5,25554.2,22825.3,6763.4,79547.1,2770.7
,7236.1,8862.3,3563.2,2354.7,920.1,7476.2,5005.9,7835.3,30023.8
,18537.3,15986.8,12422.6,26334.6,12609.4,7708.5,11994.1,19484.8,23970.3
,5346.5,28564.9,16639.1,10822.7,2245,2317.6,31949.6,14202.8,8005.1
,2817.7,6471.3,,16103.9,5420.5,7587.6,9130.3,5335.3,4386.2
,13114.9,6198.3,,2582.6,6245.4,7193.5,2544.2,11323.7,28444.2
,8509.8,13774.2,,11433.6,9391,16741.2,16954.1,20474.6,3723.8
,3364.7,11892.6,,12488.6,17125.8,14119.7,13103.9,3510.1,13771
,10734.1,31521.1,,4595.6,17444.5,15147.9,18422.5,9339.4,14420.7
,3093.2,14928.1,,5236.7,10928.2,18731.2,13279.7,4300.7,10002.2
,8315.9,14213.8,,47311.4,15312.7,19103.8,8945.8,27949.7,12140.1
,8903.9,14908.6,,12022.8,19433.4,12022.8,12366.6,16070.9,21907.8
,37444,5147.8,,9807.3,8192.2,3535.7,21730.1,6865.1,9004.5
,20587.3,9335.4,,10194.3,16059.9,2099.7,5627.7,17561.4,32115.9
,11972.1,16324.2,,7565.6,5988.9,5865,,24312.4,17807.9
,15795.6,21938.9,,7011.2,2800.6,15719.2,,24191.6,19889.7
,18356.5,,,10186.7,4099.9,4309.3,,13221.8,20862
,11411.7,,,4899.1,5617.1,2890.3,,3445.8,13406.2
,4393.2,,,13257.8,23072.8,17988.9,,30773.8,14093.7
,18048.9,,,6682.1,12987,25142.3,,5185.4,13895.1
,7537.3,,,10631.5,2886.1,6799.5,,20521.3,13489.8
,24070.7,,,7164.2,,5647,,18939.8,10572.4
,4904.6,,,6574.5,,13681,,13489.8,
,,,,6313.2,,23286.5,,28510.1,
,,,,11126.2,,7956,,7954.9,
,,,,34408.6,,8182.9,,27015.7,
,,,,14434.6,,3296.4,,32970.7,
,,,,5531.6,,6212.6,,10622.7,
,,,,9005.1,,4941.8,,12241.3,
,,,,3557.1,,19618.9,,8031.9,
,,,,9105.1,,5578.6,,,
,,,,,,8752.4,,,
